#   wl        direct       diffuse (W/m^2/mic)
0.6575   744.2106323   171.2393188
0.6600   770.2509155   176.0955658
0.6625   776.5522461   177.0461121
0.6650   783.5021973   178.1483307
0.6675   780.5606689   177.6766968
0.6700   777.6052246   177.2029877
0.6725   775.8211670   176.7281036
0.6750   773.9910889   176.2485809
0.6775   771.7013550   175.6323547
0.6800   769.1207886   174.9562378
0.6825   763.2832642   173.5087585
0.6850   757.7464600   172.1371307
0.6875   564.7973633   128.2786865
0.6900   688.7034912   156.3925781
0.6925   721.6451416   163.8477325
0.6950   662.4000244   150.2747192
0.6975   734.7940063   166.2282410
0.7000   694.1446533   156.5955811
0.7025   711.0500488   160.2295380
0.7050   727.5507812   163.7675171
0.7075   719.9321899   161.6822815
0.7100   720.1120605   161.3582001
0.7125   722.1895142   161.3674774
0.7150   697.6395874   155.4479980
0.7175   559.0298462   124.4170227
0.7200   499.3001709   110.9955521
0.7225   701.9150391   155.6471558
0.7250   607.7080688   134.4242401
0.7275   573.4248047   126.5069199
0.7300   627.1254883   137.9942322
0.7325   650.1872559   142.6187134
0.7350   659.5678711   144.2262726
0.7375   680.3750610   147.7528381
0.7400   664.1657715   143.2485199
0.7425   683.7714233   146.5066833
0.7450   695.7316284   148.0962677
0.7475   692.9536743   146.6056366
0.7500   689.9810181   145.0941467
0.7525   687.5728149   143.6120148
0.7550   685.1486816   142.1474762
0.7575   682.2230835   140.5735474
0.7600   222.2197876    45.4784622
0.7625   414.8688965    84.3656158
0.7650   481.6539307    97.3292542
0.7675   627.4101562   125.9424515
0.7700   657.7252808   131.1594543
0.7725   661.8786011   131.1262207
0.7750   662.6558228   130.4298706
0.7775   661.3192139   129.3541870
0.7800   659.5441284   128.2078552
0.7825   657.7815552   127.0793076
0.7850   654.9047852   125.7518616
0.7875   639.1077881   121.9532623
0.7900   624.2153320   118.3743515
0.7925   633.4089355   119.3798676
0.7950   627.2024536   117.4896317
0.7975   630.9833984   117.4827576
0.8000   633.1193237   117.1726990
0.8025   624.5050049   114.9318771
0.8050   610.7375488   111.7745361
0.8075   621.5084839   113.0781250
0.8100   613.6669312   111.0009842
0.8125   573.8336792   103.1957932
0.8150   489.1597900    87.4636993
0.8175   493.2000732    87.6998749
0.8200   492.2762451    87.0567245
0.8225   424.8280334    74.7074127
0.8250   535.6031494    93.6633224
0.8275   501.0252686    87.1324844
0.8300   555.3352661    96.0479431
0.8325   491.2583618    84.5185089
0.8350   570.6611938    97.6666794
0.8375   572.6372070    97.4796066
0.8400   576.5470581    97.6232071
0.8425   587.9526978    99.0289536
0.8450   582.2728271    97.5585327
0.8475   573.8206787    95.6596222
0.8500   561.9119873    93.2076340
0.8525   547.0507812    90.2778625
0.8550   537.2510986    88.2100754
0.8575   553.9767456    90.4975510
0.8600   574.2431030    93.3388214
0.8625   560.8853149    90.6321564
0.8650   547.7436523    87.9912796
0.8675   551.5428467    88.1171875
0.8700   555.4931030    88.2657089
0.8725   565.3819580    89.3193665
0.8750   575.0693359    90.3288727
0.8775   571.0357666    89.1833420
0.8800   566.6313477    87.9928436
0.8825   561.6636963    86.7282410
0.8850   560.4091187    86.0476608
0.8875   558.3841553    85.2565308
0.8900   548.6565552    83.3043594
0.8925   549.9000854    83.0445328
0.8950   491.4206238    73.8163300
0.8975   414.1136780    61.8620605
0.9000   394.1044922    58.5508690
0.9025   361.6144409    53.4313354
0.9050   467.1133423    68.6454239
0.9075   360.9264526    52.7543411
0.9100   406.8099976    59.1414032
0.9125   399.4498596    57.7609177
0.9150   352.9324341    50.7627487
0.9175   316.4452820    45.2815323
0.9200   511.3043518    72.7916260
0.9225   414.5813293    58.7117729
0.9250   423.8668823    59.7129822
0.9275   442.0505676    61.9505463
0.9300   259.9064636    36.2355003
0.9325   138.8026428    19.2550907
0.9350   132.3957520    18.2752113
0.9375   117.2579422    16.1029263
0.9400   276.0896301    37.7221756
0.9425   233.8862762    31.7939949
0.9450    71.1506729     9.6232824
0.9475   183.6323547    24.7119236
0.9500    85.9945221    11.5146675
0.9525   167.3403625    22.2992363
0.9550   170.2691498    22.5810127
0.9575   256.4159546    33.8379250
0.9600   265.2121582    34.8267632
0.9625   277.2348633    36.2337875
0.9650   251.1365356    32.6686287
0.9675   389.1662903    50.3784409
0.9700   383.4846802    49.4031944
0.9725   396.0392151    50.7841187
0.9750   387.0679626    49.4047432
0.9775   398.2593689    50.5908852
0.9800   380.1514282    48.0613861
0.9825   403.9755859    50.8231354
0.9850   408.3364563    51.1210327
0.9875   437.3898926    54.5016975
0.9900   451.7683105    56.0306473
0.9925   446.9243469    55.1626358
0.9950   455.3547974    55.9333076
0.9975   450.8113403    55.1200981
1.0000   449.2289734    54.6746216
1.0025   442.6759033    53.6214943
1.0050   444.6305847    53.6038971
1.0075   439.9718018    52.7834778
1.0100   433.4371948    51.7468338
1.0125   436.9432373    51.9219818
