#   wl        direct       diffuse (W/m^2/mic)
0.6575   716.7424927   131.3186951
0.6600   737.0253906   134.0961151
0.6625   742.8158569   134.7308350
0.6650   749.0349731   135.4477234
0.6675   746.1801758   135.0650482
0.6700   743.3143311   134.6814575
0.6725   741.5682373   134.2872009
0.6750   739.7780151   133.8903656
0.6775   737.5397339   133.3875732
0.6800   735.0795898   132.8506775
0.6825   729.5491943   131.7354736
0.6850   724.1989746   130.6595764
0.6875   531.0051270    95.7689590
0.6900   654.7905884   118.0549774
0.6925   691.2536621   124.5914078
0.6950   653.2534790   117.6175079
0.6975   704.3643188   126.4053497
0.7000   673.8192749   120.5337677
0.7025   685.6985474   122.4755249
0.7050   698.2264404   124.5300140
0.7075   692.2315063   123.1280594
0.7100   691.3134766   122.6380768
0.7125   691.4262695   122.2608871
0.7150   673.5336914   118.7162399
0.7175   566.1871338    99.6436920
0.7200   512.7329102    90.1010056
0.7225   673.8357544   118.0691147
0.7250   606.1612549   105.9082870
0.7275   573.4629517    99.8931580
0.7300   619.0559082   107.5139313
0.7325   633.6987305   109.6679840
0.7350   641.7434082   110.6722107
0.7375   653.5925293   111.8842621
0.7400   639.8468628   108.7303467
0.7425   654.1683350   110.3799286
0.7450   662.9750977   111.0838394
0.7475   660.1094971   109.8803482
0.7500   657.1509399   108.6790771
0.7525   654.7745972   107.5065994
0.7550   652.3840942   106.3498077
0.7575   649.5170898   105.1128922
0.7600   200.9472351    32.2853813
0.7625   384.4495850    61.3503609
0.7650   451.2649231    71.5300903
0.7675   595.8533936    93.7851181
0.7700   625.8029785    97.8126755
0.7725   629.7618408    97.7513885
0.7750   630.4380493    97.1859894
0.7775   629.0802612    96.3364258
0.7800   627.3312988    95.4398117
0.7825   625.5327148    94.5487213
0.7850   623.0061646    93.5611038
0.7875   611.5949707    91.2443390
0.7900   600.3731689    88.9870911
0.7925   604.8579102    89.0731125
0.7950   599.2265625    87.6791382
0.7975   601.8539429    87.5048981
0.8000   603.2592163    87.1575165
0.8025   596.0587158    85.6125412
0.8050   585.4650879    83.6025314
0.8075   591.7545166    83.9826736
0.8100   585.6592407    82.6124649
0.8125   558.5506592    78.3139191
0.8150   492.8426208    68.6883240
0.8175   489.4568787    67.8252029
0.8200   487.1891174    67.1272583
0.8225   434.3098755    59.4930573
0.8250   522.3993530    71.1470337
0.8275   494.9683838    67.0257111
0.8300   538.4701538    72.5032425
0.8325   485.9492188    65.0758362
0.8350   547.6549072    72.9441986
0.8375   549.0355225    72.7243805
0.8400   551.5451050    72.6570663
0.8425   557.9944458    73.1080856
0.8450   553.1611938    72.0852280
0.8475   544.4783936    70.5885925
0.8500   533.5100708    68.8138885
0.8525   519.8221436    66.6974487
0.8550   509.4966431    65.0334930
0.8575   525.5520020    66.7380295
0.8600   543.9082031    68.7171555
0.8625   531.1945190    66.6864166
0.8650   518.6911621    64.7069702
0.8675   522.2341919    64.7643433
0.8700   525.9118042    64.8374100
0.8725   535.2145386    65.5752411
0.8750   544.3881836    66.2877731
0.8775   540.5093994    65.4116287
0.8800   536.3897705    64.5165863
0.8825   532.3654785    63.6434898
0.8850   530.7578125    63.0675316
0.8875   528.6270752    62.4364510
0.8900   521.3565063    61.2090111
0.8925   521.3718262    60.8570328
0.8950   479.4669495    55.6439171
0.8975   415.7966003    47.9700317
0.9000   396.2237854    45.4435616
0.9025   368.5131531    42.0184326
0.9050   456.3168030    51.7274094
0.9075   368.3897705    41.5184898
0.9100   407.0986023    45.6168823
0.9125   404.8573608    45.1057549
0.9150   367.5450745    40.7152443
0.9175   334.4889526    36.8497200
0.9200   487.5725403    53.4207230
0.9225   415.3121033    45.2477150
0.9250   422.4460449    45.7674675
0.9275   437.3229980    47.1153870
0.9300   286.2926331    30.6730690
0.9325   165.8614960    17.6753845
0.9350   157.8605804    16.7334061
0.9375   142.2256012    14.9937153
0.9400   292.5203552    30.6704025
0.9425   254.3108978    26.5198784
0.9450    93.7590866     9.7246628
0.9475   210.2201996    21.6870537
0.9500   109.8262482    11.2696018
0.9525   191.1522980    19.5140533
0.9550   193.6123047    19.6642265
0.9575   276.7272034    27.9578838
0.9600   286.2346802    28.7669945
0.9625   293.7637329    29.3749924
0.9650   271.3723145    27.0000000
0.9675   383.7377930    37.9824982
0.9700   379.4345398    37.3634720
0.9725   389.7130432    38.1860695
0.9750   380.7499084    37.1244125
0.9775   391.4700012    37.9760971
0.9800   376.0443115    36.2955704
0.9825   395.1902466    37.9450378
0.9850   398.9365234    38.1063766
0.9875   419.3506470    39.8568954
0.9900   428.3489685    40.5103912
0.9925   424.5165710    39.9426956
0.9950   429.3965759    40.1963043
0.9975   425.7509460    39.6601906
1.0000   424.0253296    39.3072166
1.0025   418.9821167    38.6446648
1.0050   419.5135498    38.5001945
1.0075   415.7101135    37.9544144
1.0100   410.6200256    37.2972755
1.0125   412.2602844    37.2614250
1.0150   410.5776062    36.9269676
1.0175   409.0504761    36.6097069
1.0200   405.1588135    36.0847702
1.0225   404.1887512    35.8174171
1.0250   402.7897034    35.5147247
1.0275   399.1623535    35.0319595
1.0300   398.9267578    34.8499184
1.0325   397.0034180    34.5166168
1.0350   394.8104553    34.1629868
1.0375   392.5016785    33.8088036
1.0400   390.1485901    33.4539795
1.0425   388.1288757    33.1249390
1.0450   386.0650940    32.7951050
1.0475   383.9589539    32.4646912
1.0500   381.2071533    32.0830002
1.0525   379.3567810    31.7802048
1.0550   377.2844849    31.4617558
1.0575   374.9841614    31.1216125
1.0600   372.6769714    30.7840652
1.0625   370.4743042    30.4636230
1.0650   368.1730347    30.1379280
1.0675   365.9798889    29.8186989
1.0700   363.8973694    29.5112610
1.0725   360.7557678    29.1263409
1.0750   354.5062561    28.4949436
1.0775   349.2751770    27.9406166
1.0800   346.9771118    27.6250896
1.0825   358.3620605    28.4016552
1.0850   349.3902893    27.5651131
1.0875   345.2821350    27.1228561
1.0900   330.7692566    25.8706646
1.0925   313.8135071    24.4345970
1.0950   321.4118347    24.9146690
1.0975   344.3995056    26.5780582
1.1000   327.9912720    25.1998730
1.1025   324.1768188    24.8015060
1.1050   307.8883057    23.4561806
1.1075   265.8395386    20.1678543
1.1100   250.3291016    18.9118881
1.1125   191.3527832    14.3962469
1.1150   165.9089508    12.4303398
1.1175   168.4561768    12.5647383
1.1200   118.1947479     8.7765703
1.1225    81.3865738     6.0176153
1.1250    77.1210556     5.6780148
1.1275    98.1177673     7.1933479
1.1300   203.0555878    14.8240271
1.1325   238.2653809    17.3215885
1.1350    14.4091673     1.0431502
1.1375   224.0016785    16.1519985
1.1400   202.7819672    14.5639067
1.1425   214.4704742    15.3398523
1.1450    81.9152832     5.8348598
1.1475   128.7608948     9.1357727
1.1500   122.6154022     8.6658154
1.1525   133.5041504     9.4003696
1.1550   190.8507843    13.3886986
1.1575   188.3757782    13.1664705
1.1600   200.9875488    13.9965458
1.1625   214.5388947    14.8858414
1.1650   250.8669739    17.3433247
1.1675   269.4962769    18.5638924
1.1700   276.6219788    18.9862709
1.1725   249.6293793    17.0752068
1.1750   223.9051514    15.2636814
1.1775   242.3256683    16.4665279
1.1800   263.8672485    17.8731842
1.1825   249.3289795    16.8290024
1.1850   268.5386047    18.0620995
1.1875   274.1954956    18.3814201
1.1900   266.4932556    17.8061333
1.1925   290.6343689    19.3519783
1.1950   277.2416382    18.3966503
1.1975   277.8678284    18.3749847
1.2000   259.7530823    17.1184139
1.2025   277.8989868    18.2552128
1.2050   262.2630615    17.1727562
1.2075   258.7550354    16.8859215
1.2100   268.6339417    17.4717846
1.2125   276.8352051    17.9450817
1.2150   260.6542053    16.8399696
1.2175   267.9133301    17.2546310
